Model Indicator Name,Default Indicator Name,Unit of Entry,Note
Final energy demand|PATHWAYS - CEC 2050 No FCEVs Plus|Unspecified,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Coke,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Compressed Pipeline Gas (CNG),,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Diesel,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Electricity,Energy|Final Energy Use by Sector|Electricity,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Fuel Oil,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Gasoline,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Hydrogen,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Kerosene,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Kerosene-Jet Fuel,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Liquified Pipeline Gas (LNG),,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|LPG,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Pipeline Gas,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Refinery and Process Gas,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Waste Heat,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Wood,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Total,,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Residential,Buildings|Energy Use By Sub-Sector|Residential,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Commercial,Buildings|Energy Use By Sub-Sector|Commercial,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Transportation,Energy|Final Energy Use by Sector|Transportation,EJ,
Final energy demand|PATHWAYS - CEC 2050 Hydrogen In Plus|Industrial,Energy|Final Energy Use by Sector|Industry,EJ,
